,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
44314,deleojo03,2016,1,LAN,NL,2,0,4,4,0,0,0,51,19,12,5,7,15,0.288,6.35,1.0,0,3.0,0,80.0,0,17,3.0,1.0,0.0
44323,devench02,2016,1,HOU,AL,4,4,48,5,0,0,1,325,79,26,4,20,104,0.206,2.16,0.0,2,3.0,0,408.0,16,26,1.0,1.0,10.0
44348,eliasro01,2016,1,BOS,AL,0,1,3,1,0,0,0,23,15,11,2,5,3,0.417,12.91,1.0,0,0.0,0,41.0,2,11,0.0,0.0,1.0
44350,eovalna01,2016,1,NYA,AL,9,8,24,21,0,0,0,374,123,66,23,40,97,0.255,4.76,2.0,5,1.0,0,525.0,2,66,1.0,1.0,8.0
44362,feldmsc01,2016,1,HOU,AL,5,3,26,5,0,0,0,186,64,20,8,13,42,0.264,2.9,3.0,0,3.0,0,265.0,9,27,4.0,3.0,4.0
44364,felizmi01,2016,1,HOU,AL,8,1,47,0,0,0,0,195,55,32,10,22,95,0.224,4.43,0.0,6,0.0,0,270.0,17,33,0.0,2.0,1.0
44367,fieldjo03,2016,1,HOU,AL,0,0,15,0,0,0,0,47,23,12,2,3,20,0.343,6.89,0.0,0,0.0,0,71.0,7,14,0.0,1.0,2.0
44368,fieldjo03,2016,2,LAN,NL,1,0,22,0,0,0,0,58,20,6,2,8,22,0.256,2.79,2.0,0,1.0,0,87.0,5,8,0.0,0.0,1.0
44370,fienca01,2016,2,LAN,NL,0,1,25,0,0,0,0,77,24,12,8,7,23,0.245,4.21,3.0,0,0.0,0,106.0,5,12,1.0,0.0,0.0
44371,fiersmi01,2016,1,HOU,AL,11,8,31,30,0,0,0,506,187,84,26,42,134,0.28,4.48,0.0,17,7.0,0,724.0,0,89,3.0,5.0,6.0
44373,fistedo01,2016,1,HOU,AL,12,13,32,32,0,0,0,541,195,93,24,62,115,0.276,4.64,1.0,10,7.0,0,779.0,0,98,0.0,3.0,20.0
44382,friasca01,2016,1,LAN,NL,0,0,1,0,0,0,0,12,2,0,0,1,3,0.143,0.0,0.0,0,0.0,0,15.0,1,0,0.0,0.0,0.0
44392,garciyi01,2016,1,LAN,NL,0,0,9,0,0,0,0,25,9,3,0,1,4,0.31,3.24,0.0,0,1.0,0,35.0,1,3,2.0,2.0,1.0
44402,gileske01,2016,1,HOU,AL,2,5,69,0,0,0,15,197,60,30,8,25,102,0.234,4.11,1.0,14,2.0,0,286.0,24,32,2.0,1.0,0.0
44419,goodyni01,2016,1,NYA,AL,0,0,27,0,0,0,0,87,30,15,7,12,34,0.265,4.66,1.0,0,1.0,0,128.0,10,15,1.0,1.0,1.0
44427,greench03,2016,1,NYA,AL,2,4,12,8,0,0,1,137,49,24,12,15,52,0.272,4.73,0.0,1,1.0,0,198.0,4,26,1.0,1.0,3.0
44429,gregelu01,2016,1,HOU,AL,4,3,59,0,0,0,15,173,38,21,5,18,67,0.183,3.28,2.0,6,2.0,0,230.0,25,23,0.0,2.0,3.0
44442,gustaja01,2016,1,HOU,AL,1,0,14,0,0,0,0,46,13,6,2,4,16,0.232,3.52,0.0,2,0.0,0,60.0,4,6,0.0,0.0,1.0
44453,harriwi02,2016,1,HOU,AL,1,2,66,0,0,0,12,192,52,16,3,15,69,0.22,2.25,1.0,4,1.0,0,255.0,19,17,1.0,2.0,6.0
44456,hatchch02,2016,1,LAN,NL,5,4,37,0,0,0,0,122,40,25,8,21,43,0.253,5.53,4.0,4,1.0,0,181.0,10,26,1.0,0.0,3.0
44460,hellebe01,2016,1,NYA,AL,1,0,10,0,0,0,0,21,11,5,3,4,6,0.324,6.43,1.0,0,2.0,0,40.0,4,5,0.0,0.0,0.0
44462,hembrhe01,2016,1,BOS,AL,4,1,38,0,0,0,0,153,51,15,6,17,47,0.249,2.65,1.0,0,0.0,0,223.0,8,23,0.0,1.0,2.0
44474,hillri01,2016,2,LAN,NL,3,2,6,6,0,0,0,103,22,7,2,5,39,0.182,1.83,0.0,0,0.0,0,128.0,0,7,1.0,1.0,0.0
44479,holdejo02,2016,1,NYA,AL,0,0,8,0,0,0,0,25,8,5,1,4,5,0.258,5.4,0.0,0,0.0,0,36.0,1,5,0.0,1.0,1.0
44484,howeljp01,2016,1,LAN,NL,1,1,64,0,0,0,0,152,56,23,4,15,44,0.281,4.09,2.0,3,3.0,0,220.0,11,23,1.0,2.0,4.0
44486,hoytja01,2016,1,HOU,AL,1,1,22,0,0,0,0,66,16,11,5,9,28,0.203,4.5,1.0,3,1.0,0,91.0,7,12,1.0,1.0,1.0
44501,janseke01,2016,1,LAN,NL,3,2,71,0,0,0,47,206,35,14,4,11,104,0.15,1.83,2.0,1,2.0,0,251.0,63,14,3.0,1.0,1.0
44517,kazmisc01,2016,1,LAN,NL,10,6,26,26,0,0,0,409,133,69,21,52,134,0.253,4.56,3.0,5,7.0,0,590.0,0,71,2.0,3.0,6.0
44521,kellyjo05,2016,1,BOS,AL,4,0,20,6,0,0,0,120,44,23,5,24,48,0.278,5.18,0.0,0,2.0,0,188.0,6,23,0.0,4.0,2.0
44524,kershcl01,2016,1,LAN,NL,12,4,21,21,3,3,0,447,97,28,8,11,172,0.184,1.69,1.0,5,2.0,3,544.0,0,31,4.0,1.0,9.0
44525,keuchda01,2016,1,HOU,AL,9,12,26,26,1,1,0,504,168,85,20,48,144,0.259,4.55,1.0,9,2.0,0,701.0,0,88,2.0,1.0,16.0
44527,kimbrcr01,2016,1,BOS,AL,2,6,57,0,0,0,31,159,28,20,4,30,83,0.152,3.4,0.0,6,4.0,0,220.0,47,22,1.0,1.0,3.0
44538,kratzer01,2016,1,HOU,AL,0,0,1,0,0,0,0,3,3,1,0,0,0,0.5,9.0,0.0,2,0.0,0,6.0,1,2,0.0,0.0,0.0
44544,lamarry01,2016,1,BOS,AL,0,0,1,0,0,0,0,3,2,0,0,0,0,0.4,0.0,0.0,0,0.0,0,5.0,1,0,0.0,0.0,0.0
44549,layneto01,2016,1,BOS,AL,0,1,34,0,0,0,0,86,27,12,1,14,25,0.26,3.77,2.0,1,1.0,0,120.0,12,12,1.0,0.0,3.0
44550,layneto01,2016,2,NYA,AL,2,0,29,0,0,0,1,48,10,6,2,7,13,0.175,3.38,1.0,1,2.0,0,67.0,4,6,1.0,0.0,0.0
44559,liberad01,2016,1,LAN,NL,2,2,58,0,0,0,0,128,34,16,2,17,47,0.219,3.38,4.0,1,2.0,0,176.0,9,16,0.0,2.0,3.0
44560,lightpa01,2016,1,BOS,AL,0,0,2,0,0,0,0,8,7,7,2,1,2,0.438,23.63,0.0,0,1.0,0,18.0,1,8,0.0,0.0,0.0
44580,maedake01,2016,1,LAN,NL,16,11,32,32,0,0,0,527,150,68,20,50,179,0.229,3.48,6.0,6,8.0,0,716.0,0,72,0.0,3.0,10.0
44608,mccarbr01,2016,1,LAN,NL,2,3,10,9,0,0,0,120,29,22,2,26,44,0.207,4.95,1.0,2,2.0,0,171.0,0,24,1.0,2.0,3.0
44610,mcculla02,2016,1,HOU,AL,6,5,14,14,0,0,0,243,80,29,5,45,106,0.261,3.22,1.0,9,0.0,2,352.0,0,29,0.0,0.0,10.0
44614,mchugco01,2016,1,HOU,AL,13,10,33,33,1,0,0,554,206,89,25,54,177,0.282,4.34,1.0,9,5.0,0,796.0,0,92,1.0,5.0,15.0
44627,millean01,2016,1,NYA,AL,6,1,44,0,0,0,9,136,28,7,5,7,77,0.174,1.39,0.0,0,2.0,0,172.0,16,8,1.0,1.0,3.0
44636,mitchbr01,2016,1,NYA,AL,1,2,5,5,0,0,0,75,26,9,1,12,11,0.277,3.24,0.0,0,0.0,0,107.0,0,13,1.0,0.0,5.0
44656,mulleco01,2016,1,NYA,AL,0,0,3,0,0,0,0,9,0,1,0,4,4,0.0,3.0,0.0,0,1.0,0,14.0,1,1,0.0,0.0,0.0
44658,musgrjo01,2016,1,HOU,AL,4,4,11,10,0,0,0,186,59,28,9,16,55,0.25,4.06,0.0,0,3.0,0,256.0,1,28,0.0,1.0,4.0
44665,neshepa01,2016,1,HOU,AL,2,2,60,0,0,0,0,141,33,16,6,11,43,0.194,3.06,7.0,1,0.0,0,185.0,9,17,3.0,1.0,2.0
44674,norribu01,2016,2,LAN,NL,3,3,13,9,0,0,0,128,48,31,8,21,42,0.279,6.54,3.0,4,1.0,0,194.0,1,33,0.0,0.0,7.0
44676,novaiv01,2016,1,NYA,AL,7,6,21,15,0,0,1,292,107,53,19,25,75,0.276,4.9,1.0,7,6.0,0,421.0,3,54,1.0,2.0,8.0
44690,olsonty01,2016,1,NYA,AL,0,0,1,0,0,0,0,8,3,2,0,2,0,0.3,6.75,0.0,0,0.0,0,13.0,1,2,0.0,1.0,0.0
44694,osullse01,2016,1,BOS,AL,2,0,5,4,0,0,0,64,30,16,3,6,13,0.337,6.75,0.0,2,2.0,0,98.0,1,17,0.0,1.0,1.0
44699,owenshe02,2016,1,BOS,AL,0,2,5,5,0,0,0,66,23,17,5,20,21,0.284,6.95,1.0,3,1.0,0,103.0,0,17,0.0,1.0,4.0
44702,parkebl01,2016,2,NYA,AL,1,0,16,0,0,0,1,49,16,9,1,8,15,0.25,4.96,1.0,0,2.0,0,74.0,5,9,0.0,0.0,0.0
44706,paulida01,2016,1,HOU,AL,0,1,3,1,0,0,0,21,6,4,0,3,2,0.24,5.14,0.0,2,1.0,0,29.0,1,4,0.0,0.0,2.0
44708,pazosja01,2016,1,NYA,AL,1,0,7,0,0,0,0,10,7,5,2,1,3,0.438,13.5,0.0,0,0.0,0,17.0,1,5,0.0,0.0,1.0
44709,peacobr01,2016,1,HOU,AL,0,1,10,5,0,0,0,95,21,13,6,14,28,0.186,3.69,0.0,2,0.0,0,127.0,3,15,0.0,0.0,3.0
44728,pindebr01,2016,1,NYA,AL,0,0,1,0,0,0,0,3,3,2,0,1,1,0.6,18.0,0.0,0,0.0,0,6.0,0,2,0.0,0.0,1.0
44729,pinedmi01,2016,1,NYA,AL,6,12,32,32,0,0,0,527,184,94,27,53,207,0.266,4.82,1.0,7,6.0,0,756.0,0,98,0.0,3.0,10.0
44732,pomerdr01,2016,2,BOS,AL,3,5,14,13,0,0,0,206,70,35,14,24,71,0.262,4.59,1.0,3,0.0,0,292.0,1,35,1.0,0.0,6.0
44733,porceri01,2016,1,BOS,AL,22,4,33,33,3,0,0,669,193,78,23,32,189,0.23,3.15,0.0,3,13.0,0,890.0,0,85,2.0,3.0,16.0
44736,priceda01,2016,1,BOS,AL,17,9,35,35,2,0,0,690,227,102,30,50,228,0.258,3.99,1.0,4,7.0,0,951.0,0,106,8.0,7.0,19.0
44749,ramirno01,2016,1,BOS,AL,0,0,14,0,0,0,0,39,16,9,4,8,15,0.327,6.23,1.0,0,2.0,0,61.0,7,9,0.0,2.0,3.0
44756,ravinjo01,2016,1,LAN,NL,0,0,10,0,0,0,0,29,2,1,1,4,13,0.065,0.93,0.0,2,0.0,0,35.0,4,1,0.0,0.0,0.0
44774,rodgebr01,2016,1,HOU,AL,0,1,5,1,0,0,0,25,15,14,0,7,3,0.385,15.12,0.0,0,1.0,0,48.0,2,14,0.0,1.0,0.0
44778,rodried05,2016,1,BOS,AL,3,7,20,20,0,0,0,321,99,56,16,40,100,0.241,4.71,1.0,0,3.0,0,458.0,0,58,1.0,4.0,3.0
44794,rossro01,2016,1,BOS,AL,3,2,54,0,0,0,0,166,47,20,2,23,56,0.228,3.25,0.0,7,8.0,0,238.0,8,21,0.0,1.0,6.0
44801,ryuhy01,2016,1,LAN,NL,0,1,1,1,0,0,0,14,8,6,1,2,4,0.364,11.57,1.0,0,0.0,0,24.0,0,6,0.0,0.0,0.0
44804,sabatcc01,2016,1,NYA,AL,9,12,30,30,0,0,0,539,172,78,22,65,152,0.25,3.91,1.0,2,9.0,1,768.0,0,83,5.0,2.0,21.0
44827,scottro02,2016,1,BOS,AL,1,0,7,0,0,0,0,18,6,0,0,2,5,0.273,0.0,0.0,1,0.0,0,25.0,1,0,1.0,0.0,0.0
44829,severlu01,2016,1,NYA,AL,3,8,22,11,0,0,0,213,78,46,11,25,66,0.275,5.83,1.0,3,3.0,0,312.0,3,48,0.0,0.0,8.0
44835,shrevch01,2016,1,NYA,AL,2,1,37,0,0,0,1,99,29,19,8,13,33,0.232,5.18,0.0,0,3.0,0,142.0,11,19,1.0,0.0,0.0
44840,sippto01,2016,1,HOU,AL,1,2,60,0,0,0,1,131,52,24,12,18,40,0.297,4.95,0.0,0,1.0,0,195.0,13,26,0.0,1.0,6.0
44843,smithca02,2016,1,BOS,AL,0,0,3,0,0,0,0,8,2,0,0,1,2,0.2,0.0,0.0,0,0.0,0,11.0,0,1,0.0,0.0,1.0
44859,stewabr01,2016,1,LAN,NL,2,2,7,5,0,0,0,84,33,18,7,12,25,0.292,5.79,1.0,0,0.0,0,126.0,0,18,1.0,0.0,1.0
44868,stripro01,2016,1,LAN,NL,5,9,22,14,0,0,0,300,96,44,10,30,74,0.25,3.96,3.0,6,1.0,0,419.0,4,46,3.0,1.0,7.0
44876,swarzan01,2016,1,NYA,AL,1,2,26,0,0,0,0,93,28,19,10,7,31,0.243,5.52,0.0,1,1.0,0,124.0,6,19,0.0,1.0,3.0
44879,tanakma01,2016,1,NYA,AL,14,4,31,31,0,0,0,599,179,68,22,36,165,0.236,3.07,0.0,7,3.0,0,805.0,0,75,4.0,3.0,10.0
44880,tazawju01,2016,1,BOS,AL,3,2,53,0,0,0,0,149,47,23,9,14,54,0.245,4.17,1.0,4,1.0,0,208.0,5,23,0.0,1.0,2.0
44884,tepesni01,2016,1,LAN,NL,0,1,1,1,0,0,0,12,7,5,1,0,3,0.368,11.25,0.0,0,0.0,0,19.0,0,5,0.0,0.0,0.0
44898,tsaoch01,2016,1,LAN,NL,0,1,2,0,0,0,0,5,1,1,0,3,0,0.167,5.4,0.0,0,0.0,0,9.0,2,1,0.0,0.0,0.0
44901,ueharko01,2016,1,BOS,AL,2,3,50,0,0,0,7,141,34,18,8,11,63,0.2,3.45,1.0,1,2.0,0,184.0,12,18,1.0,0.0,2.0
44903,uriasju01,2016,1,LAN,NL,5,2,18,15,0,0,0,231,81,29,5,31,84,0.274,3.39,0.0,3,4.0,0,336.0,1,32,4.0,1.0,6.0
44925,warread01,2016,2,NYA,AL,4,2,29,0,0,0,0,91,28,11,4,10,25,0.25,3.26,2.0,3,1.0,0,125.0,3,13,1.0,1.0,2.0
44934,whitety01,2016,1,HOU,AL,0,0,1,0,0,0,0,3,1,1,1,0,0,0.25,9.0,0.0,0,0.0,0,4.0,1,1,0.0,0.0,0.0
44949,woodal02,2016,1,LAN,NL,1,4,14,10,0,0,0,181,56,25,5,20,66,0.245,3.73,0.0,4,3.0,0,255.0,0,30,0.0,2.0,5.0
44956,wrighst01,2016,1,BOS,AL,13,6,24,24,4,1,0,470,138,58,12,57,127,0.235,3.33,1.0,10,8.0,0,656.0,0,74,2.0,2.0,16.0
44957,yateski01,2016,1,NYA,AL,2,1,41,0,0,0,0,124,41,24,5,19,50,0.258,5.23,1.0,1,4.0,0,184.0,11,24,1.0,1.0,1.0
44964,zieglbr01,2016,2,BOS,AL,2,4,33,0,0,0,4,89,26,5,1,11,31,0.234,1.52,2.0,1,1.0,0,124.0,12,8,1.0,0.0,6.0
44967,abadfe01,2017,1,BOS,AL,2,1,48,0,0,0,1,131,40,16,4,14,37,0.242,3.3,1.0,0,1.0,1,182.0,15,18,0.0,2.0,4.0
44991,aokino01,2017,1,HOU,AL,0,0,1,0,0,0,0,3,1,3,0,2,0,0.333,27.0,0.0,0,0.0,0,6.0,1,3,0.0,1.0,0.0
45000,avilalu01,2017,1,LAN,NL,2,3,61,0,0,0,0,138,42,15,2,22,52,0.246,2.93,3.0,1,1.0,0,194.0,5,16,0.0,0.0,4.0
45003,baezpe01,2017,1,LAN,NL,3,6,66,0,0,0,0,192,56,21,9,29,64,0.225,2.95,2.0,1,2.0,1,280.0,6,24,0.0,0.0,1.0
45010,barnema01,2017,1,BOS,AL,7,3,70,0,0,0,1,209,57,30,7,28,83,0.224,3.88,0.0,3,1.0,0,287.0,15,31,1.0,3.0,7.0
45028,betande01,2017,1,NYA,AL,3,6,66,0,0,0,10,179,29,19,3,44,100,0.141,2.87,0.0,5,11.0,1,261.0,21,20,1.0,0.0,1.0
45047,boyerbl01,2017,1,BOS,AL,1,1,32,0,0,0,0,124,50,20,3,14,33,0.311,4.35,3.0,1,1.0,0,178.0,11,20,1.0,1.0,7.0
45067,buehlwa01,2017,1,LAN,NL,1,0,8,0,0,0,0,28,11,8,2,8,12,0.306,7.71,1.0,1,0.0,0,44.0,2,8,0.0,0.0,3.0
45083,castifa01,2017,1,LAN,NL,0,0,2,0,0,0,0,4,3,2,0,1,2,0.429,13.5,0.0,1,0.0,0,8.0,0,2,0.0,0.0,0.0
45090,cessalu01,2017,1,NYA,AL,0,3,10,5,0,0,0,108,36,19,7,17,30,0.257,4.75,0.0,2,3.0,0,160.0,2,21,0.0,0.0,2.0
45094,chapmar01,2017,1,NYA,AL,4,3,52,0,0,0,22,151,37,18,3,20,69,0.2,3.22,2.0,5,3.0,0,210.0,42,20,0.0,1.0,1.0
45099,cingrto01,2017,2,LAN,NL,0,0,22,0,0,0,0,58,15,6,1,6,28,0.214,2.79,0.0,3,0.0,0,77.0,8,8,1.0,0.0,1.0
45105,clippty01,2017,1,NYA,AL,1,5,40,0,0,0,1,109,28,20,7,19,42,0.209,4.95,1.0,5,1.0,0,158.0,7,21,3.0,1.0,0.0
45107,clippty01,2017,3,HOU,AL,0,2,16,0,0,0,2,42,11,10,3,7,18,0.208,6.43,0.0,3,1.0,0,62.0,9,10,0.0,1.0,1.0
45133,darviyu01,2017,2,LAN,NL,4,3,9,9,0,0,0,149,44,19,7,13,61,0.235,3.44,1.0,3,1.0,0,202.0,0,20,1.0,0.0,3.0
45135,davisjd01,2017,1,HOU,AL,0,0,2,0,0,0,0,5,1,0,0,1,3,0.167,0.0,0.0,0,0.0,0,7.0,2,0,0.0,0.0,0.0
45138,daytogr01,2017,1,LAN,NL,1,1,29,0,0,0,0,71,19,13,5,12,20,0.221,4.94,1.0,0,0.0,0,102.0,6,13,1.0,3.0,0.0
45148,devench02,2017,1,HOU,AL,8,5,62,0,0,0,4,242,50,24,11,26,100,0.174,2.68,3.0,2,2.0,0,316.0,10,26,0.0,1.0,5.0
45149,diazda01,2017,1,HOU,AL,1,1,10,1,0,0,0,39,17,13,3,4,20,0.315,9.0,0.0,4,0.0,0,58.0,4,14,0.0,0.0,3.0
45172,eliasro01,2017,1,BOS,AL,0,0,1,0,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0,0.0,0,2.0,1,0,0.0,0.0,0.0
45189,felizmi01,2017,1,HOU,AL,4,2,46,0,0,0,0,144,53,30,8,22,70,0.276,5.63,1.0,7,0.0,0,218.0,13,31,0.0,4.0,2.0
45193,fieldjo03,2017,1,LAN,NL,5,0,57,0,0,0,2,171,40,18,10,15,60,0.194,2.84,1.0,1,1.0,1,223.0,13,19,0.0,1.0,3.0
45196,fiersmi01,2017,1,HOU,AL,8,10,29,28,0,0,0,460,157,89,32,62,146,0.266,5.22,0.0,11,13.0,1,671.0,0,95,3.0,1.0,16.0
45198,fistedo01,2017,1,BOS,AL,5,9,18,15,1,0,0,271,87,49,9,38,83,0.254,4.88,3.0,2,3.0,1,392.0,3,55,3.0,5.0,5.0
45204,fontwi01,2017,1,LAN,NL,0,0,3,0,0,0,0,11,7,7,2,4,3,0.389,17.18,0.0,0,0.0,0,22.0,2,7,0.0,0.0,0.0
45215,gallegi01,2017,1,NYA,AL,0,1,16,0,0,0,0,61,21,11,3,5,22,0.263,4.87,1.0,1,0.0,1,88.0,7,12,1.0,1.0,0.0
45220,garcija02,2017,3,NYA,AL,0,3,8,8,0,0,0,112,41,20,6,20,37,0.279,4.82,1.0,3,0.0,0,170.0,0,25,0.0,3.0,3.0
45236,germado01,2017,1,NYA,AL,0,1,7,0,0,0,0,43,11,5,1,9,18,0.216,3.14,0.0,3,0.0,0,62.0,5,6,1.0,1.0,2.0
45238,gileske01,2017,1,HOU,AL,1,3,63,0,0,0,34,188,44,16,4,21,83,0.198,2.3,0.0,3,1.0,0,247.0,55,16,1.0,2.0,4.0
45264,grayso01,2017,2,NYA,AL,4,7,11,11,1,0,0,196,55,27,11,27,59,0.222,3.72,1.0,4,2.0,0,278.0,0,31,1.0,0.0,3.0
45265,greench03,2017,1,NYA,AL,5,0,40,1,0,0,0,207,34,14,4,17,103,0.147,1.83,0.0,3,2.0,0,253.0,4,14,2.0,1.0,4.0
45267,gregelu01,2017,1,HOU,AL,2,3,65,0,0,0,1,183,62,31,13,20,70,0.257,4.57,4.0,5,0.0,1,263.0,13,31,1.0,1.0,2.0
45274,guduare01,2017,1,HOU,AL,0,0,22,0,0,0,0,48,24,14,1,12,16,0.338,7.88,0.0,3,0.0,0,83.0,3,14,0.0,0.0,1.0
45279,gustaja01,2017,1,HOU,AL,0,0,6,0,0,0,0,15,5,3,0,7,2,0.278,5.4,0.0,0,0.0,0,25.0,2,4,0.0,0.0,2.0
45290,harriwi02,2017,1,HOU,AL,3,2,46,0,0,0,2,136,37,15,7,7,52,0.218,2.98,0.0,1,0.0,0,177.0,5,15,0.0,0.0,1.0
45293,hatchch02,2017,1,LAN,NL,0,1,26,0,0,0,0,110,37,19,7,12,43,0.259,4.66,0.0,2,0.0,1,158.0,15,20,2.0,1.0,2.0
45297,hellebe01,2017,1,NYA,AL,1,0,9,0,0,0,0,33,5,1,0,6,9,0.139,0.82,0.0,1,0.0,0,43.0,4,1,0.0,1.0,1.0
45300,hembrhe01,2017,1,BOS,AL,2,3,62,0,0,0,0,186,72,25,10,18,70,0.289,3.63,0.0,2,1.0,0,271.0,8,29,1.0,2.0,5.0
45308,herrero01,2017,1,NYA,AL,0,1,2,0,0,0,0,9,3,2,1,1,3,0.25,6.0,0.0,0,1.0,0,14.0,1,2,0.0,0.0,0.0
45312,hillri01,2017,1,LAN,NL,12,8,25,25,1,0,0,407,99,50,18,49,166,0.203,3.32,1.0,2,9.0,1,552.0,0,51,4.0,2.0,8.0
45314,holdejo02,2017,1,NYA,AL,1,1,37,0,0,0,0,118,45,17,5,8,40,0.283,3.89,1.0,2,3.0,0,171.0,12,17,1.0,0.0,3.0
45321,hoytja01,2017,1,HOU,AL,1,0,43,0,0,0,0,148,51,24,7,14,66,0.262,4.38,0.0,4,2.0,0,211.0,7,24,0.0,0.0,5.0
45334,jankojo01,2017,1,HOU,AL,1,0,3,0,0,0,0,13,7,6,3,2,5,0.35,12.46,0.0,0,0.0,0,22.0,2,6,0.0,0.0,0.0
45335,janseke01,2017,1,LAN,NL,5,0,65,0,0,0,41,205,44,10,5,7,109,0.177,1.32,0.0,2,2.0,1,258.0,57,11,0.0,0.0,3.0
45344,johnsbr02,2017,1,BOS,AL,2,0,5,5,1,1,0,81,32,13,5,8,21,0.283,4.33,1.0,0,0.0,0,121.0,0,13,0.0,0.0,0.0
45352,kahnlto01,2017,2,NYA,AL,1,1,32,0,0,0,0,80,25,8,1,10,36,0.248,2.7,0.0,3,2.0,0,115.0,7,8,0.0,2.0,2.0
45356,kellyjo05,2017,1,BOS,AL,4,1,54,0,0,0,0,174,42,18,3,27,52,0.202,2.79,1.0,4,1.0,0,238.0,14,19,0.0,2.0,6.0
