,yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
12763,2015,ALDS1,altuvjo01,HOU,AL,5,22,2,3,0,0,0,1,0,1.0,1,2,0,0.0,0.0,0.0,1.0
12764,2015,ALWC,altuvjo01,HOU,AL,1,4,0,1,0,0,0,1,1,0.0,0,1,0,0.0,0.0,0.0,0.0
12766,2015,NLDS2,anderbr04,LAN,NL,1,1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12771,2015,NLDS2,avilalu01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12774,2015,NLDS2,baezpe01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12779,2015,ALWC,beltrca01,NYA,AL,1,4,0,1,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
12780,2015,ALWC,betande01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12781,2015,ALWC,birdgr01,NYA,AL,1,3,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12797,2015,ALDS1,cartech02,HOU,AL,5,17,3,5,1,0,1,1,0,0.0,0,7,0,0.0,0.0,0.0,0.0
12798,2015,ALWC,cartech02,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0.0,0.0,0.0
12799,2015,ALDS1,castrja01,HOU,AL,5,14,1,1,0,0,0,2,0,0.0,1,7,0,0.0,0.0,0.0,1.0
12800,2015,ALWC,castrja01,HOU,AL,1,2,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,1.0
12826,2015,ALDS1,congeha01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12827,2015,ALDS1,correca01,HOU,AL,5,20,2,7,1,0,2,4,0,0.0,0,5,0,1.0,0.0,0.0,1.0
12828,2015,ALWC,correca01,HOU,AL,1,4,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12829,2015,NLDS2,crawfca02,LAN,NL,4,12,1,1,0,0,0,0,1,0.0,0,3,0,0.0,0.0,0.0,1.0
12865,2015,NLDS2,ellisaj01,LAN,NL,3,8,0,2,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
12866,2015,ALWC,ellsbja01,NYA,AL,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12874,2015,NLDS2,ethiean01,LAN,NL,5,16,1,4,1,0,0,2,0,0.0,2,4,0,0.0,0.0,0.0,0.0
12878,2015,ALDS1,fieldjo03,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12880,2015,ALDS1,fiersmi01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12890,2015,NLDS2,garciyi01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12891,2015,ALWC,gardnbr01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,3,0,0.0,0.0,0.0,0.0
12892,2015,ALDS1,gattiev01,HOU,AL,5,19,1,4,0,0,0,1,0,0.0,0,5,0,0.0,0.0,0.0,0.0
12893,2015,ALWC,gattiev01,HOU,AL,1,4,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,1.0
12899,2015,ALDS1,gomezca01,HOU,AL,5,12,1,3,0,0,1,2,0,0.0,0,4,0,0.0,0.0,0.0,0.0
12900,2015,ALWC,gomezca01,HOU,AL,1,3,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12901,2015,NLDS2,gonzaad01,LAN,NL,5,19,4,6,1,0,1,5,0,0.0,2,9,0,0.0,0.0,0.0,0.0
12903,2015,ALDS1,gonzama01,HOU,AL,3,2,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12904,2015,ALWC,gonzama01,HOU,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12913,2015,NLDS2,grandya01,LAN,NL,3,10,0,1,0,0,0,2,0,0.0,1,6,0,0.0,0.0,0.0,0.0
12914,2015,ALDS1,gregelu01,HOU,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12915,2015,ALWC,gregelu01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12916,2015,ALWC,gregodi01,NYA,AL,1,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12917,2015,NLDS2,greinza01,LAN,NL,2,3,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2.0,0.0,0.0
12926,2015,ALDS1,harriwi02,HOU,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12927,2015,ALWC,harriwi02,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12931,2015,NLDS2,hatchch02,LAN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12934,2015,ALWC,headlch01,NYA,AL,1,2,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,0.0
12939,2015,NLDS2,hernaen02,LAN,NL,4,13,3,4,0,0,0,0,1,0.0,2,4,1,0.0,0.0,0.0,1.0
12952,2015,NLDS2,howeljp01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12956,2015,NLDS2,janseke01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12961,2015,ALDS1,kazmisc01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12963,2015,NLDS2,kendrho01,LAN,NL,5,22,4,6,1,0,1,4,0,0.0,0,2,0,0.0,0.0,0.0,1.0
12964,2015,NLDS2,kershcl01,LAN,NL,2,5,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12965,2015,ALDS1,keuchda01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12966,2015,ALWC,keuchda01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12981,2015,ALDS1,lowrije01,HOU,AL,3,3,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
12982,2015,ALWC,lowrije01,HOU,AL,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12988,2015,ALDS1,marisja01,HOU,AL,3,7,1,3,1,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
12989,2015,ALWC,marisja01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12996,2015,ALWC,mccanbr01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12997,2015,ALDS1,mcculla02,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
12999,2015,ALDS1,mchugco01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13004,2015,ALWC,millean01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13027,2015,ALDS1,neshepa01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13040,2015,NLDS2,pederjo01,LAN,NL,5,4,0,0,0,0,0,0,0,0.0,4,1,1,0.0,0.0,0.0,0.0
13044,2015,NLDS2,peraljo01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13046,2015,ALDS1,perezol01,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13059,2015,NLDS2,puigya01,LAN,NL,3,6,0,0,0,0,0,0,0,0.0,0,3,0,0.0,0.0,0.0,0.0
13061,2015,ALDS1,rasmuco01,HOU,AL,5,14,3,6,1,0,3,5,1,0.0,6,6,2,0.0,0.0,0.0,0.0
13062,2015,ALWC,rasmuco01,HOU,AL,1,3,1,1,0,0,1,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13066,2015,ALWC,refsnro01,NYA,AL,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13082,2015,ALWC,rodrial01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
13084,2015,NLDS2,rolliji01,LAN,NL,4,7,0,1,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,1.0
13090,2015,NLDS2,ruggiju01,LAN,NL,3,4,0,0,0,0,0,0,0,0.0,0,3,0,0.0,0.0,0.0,0.0
13098,2015,NLDS2,seageco01,LAN,NL,5,16,2,3,1,0,0,0,0,0.0,1,8,0,0.0,0.0,0.0,0.0
13100,2015,ALDS1,sippto01,HOU,AL,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13101,2015,ALWC,sippto01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13108,2015,ALDS1,springe01,HOU,AL,5,19,5,4,1,0,1,3,0,0.0,3,10,0,0.0,0.0,0.0,0.0
13109,2015,ALWC,springe01,HOU,AL,1,4,0,1,1,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13118,2015,ALWC,tanakma01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13122,2015,ALDS1,tuckepr01,HOU,AL,3,2,0,0,0,0,0,0,0,0.0,1,2,0,0.0,0.0,0.0,0.0
13125,2015,NLDS2,turneju01,LAN,NL,5,19,2,10,6,0,0,4,1,0.0,1,3,1,0.0,0.0,0.0,0.0
13127,2015,NLDS2,utleych01,LAN,NL,3,3,1,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13128,2015,ALDS1,valbulu01,HOU,AL,5,13,2,2,0,0,1,2,0,0.0,4,6,0,0.0,0.0,0.0,0.0
13129,2015,ALWC,valbulu01,HOU,AL,1,4,0,1,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
13135,2015,ALWC,villajo01,HOU,AL,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0
13143,2015,ALWC,wilsoju10,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13145,2015,NLDS2,woodal02,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13154,2015,ALWC,youngch04,NYA,AL,1,2,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13168,2016,NLCS,avilalu01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13169,2016,NLDS2,avilalu01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13173,2016,NLCS,baezpe01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13174,2016,NLDS2,baezpe01,LAN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13175,2016,NLDS2,barneau01,LAN,NL,2,1,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13178,2016,ALDS2,barnema01,BOS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13190,2016,ALDS2,beninan01,BOS,AL,3,9,1,3,1,0,1,2,0,0.0,0,1,0,0.0,0.0,0.0,1.0
13191,2016,ALDS2,bettsmo01,BOS,AL,3,10,1,2,1,0,0,0,0,0.0,2,1,0,0.0,0.0,0.0,1.0
13197,2016,NLCS,blantjo01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13198,2016,NLDS2,blantjo01,LAN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13199,2016,ALDS2,bogaexa01,BOS,AL,3,12,1,3,0,0,0,0,0,0.0,0,4,0,0.0,0.0,0.0,0.0
13202,2016,ALDS2,bradlja02,BOS,AL,3,10,0,1,0,0,0,0,0,0.0,0,7,0,1.0,0.0,0.0,0.0
13208,2016,ALDS2,buchhcl01,BOS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13244,2016,NLDS2,culbech01,LAN,NL,4,7,0,0,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
13250,2016,NLCS,daytogr01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13251,2016,NLDS2,daytogr01,LAN,NL,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13270,2016,NLCS,ethiean01,LAN,NL,5,4,2,1,0,0,1,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13271,2016,NLDS2,ethiean01,LAN,NL,3,2,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13273,2016,NLCS,fieldjo03,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13274,2016,NLDS2,fieldjo03,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13285,2016,NLCS,gonzaad01,LAN,NL,6,21,2,4,0,0,1,4,1,0.0,2,4,0,0.0,0.0,0.0,1.0
13286,2016,NLDS2,gonzaad01,LAN,NL,5,20,1,4,0,0,1,2,0,0.0,1,4,0,0.0,0.0,0.0,1.0
13289,2016,NLCS,grandya01,LAN,NL,6,12,1,1,0,0,1,3,0,0.0,4,5,0,0.0,1.0,0.0,0.0
13290,2016,NLDS2,grandya01,LAN,NL,5,16,0,2,0,0,0,0,0,0.0,3,6,0,0.0,0.0,0.0,1.0
13310,2016,NLCS,hernaen02,LAN,NL,6,8,0,0,0,0,0,0,0,0.0,3,2,0,0.0,0.0,0.0,0.0
13312,2016,ALDS2,hernama02,BOS,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13316,2016,ALDS2,hillaa01,BOS,AL,1,1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13317,2016,NLCS,hillri01,LAN,NL,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13318,2016,NLDS2,hillri01,LAN,NL,2,3,0,1,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13319,2016,ALDS2,holtbr01,BOS,AL,3,10,1,4,1,0,1,1,0,0.0,0,2,0,0.0,0.0,0.0,0.0
13321,2016,NLCS,janseke01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13322,2016,NLDS2,janseke01,LAN,NL,4,1,0,0,0,0,0,0,0,0.0,0,1,0,0.0,1.0,0.0,0.0
13328,2016,ALDS2,kellyjo05,BOS,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13330,2016,NLCS,kendrho01,LAN,NL,5,13,1,2,1,0,0,0,1,0.0,0,3,0,0.0,0.0,0.0,1.0
13331,2016,NLDS2,kendrho01,LAN,NL,4,9,1,3,1,0,0,0,0,0.0,1,1,1,0.0,0.0,0.0,0.0
13332,2016,NLCS,kershcl01,LAN,NL,2,4,0,1,0,0,0,0,0,0.0,0,2,0,0.0,0.0,0.0,0.0
13333,2016,NLDS2,kershcl01,LAN,NL,3,3,1,1,1,0,0,0,0,0.0,1,2,0,0.0,1.0,0.0,0.0
13334,2016,ALDS2,kimbrcr01,BOS,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13348,2016,ALDS2,leonsa01,BOS,AL,3,10,1,1,0,0,1,1,0,0.0,1,5,0,0.0,0.0,0.0,0.0
13364,2016,NLCS,maedake01,LAN,NL,2,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13365,2016,NLDS2,maedake01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13401,2016,ALDS2,ortizda01,BOS,AL,3,9,0,1,1,0,0,1,0,0.0,2,1,0,0.0,0.0,1.0,0.0
13412,2016,NLCS,pederjo01,LAN,NL,6,21,3,4,1,0,0,1,2,0.0,1,8,0,0.0,0.0,0.0,1.0
13413,2016,NLDS2,pederjo01,LAN,NL,5,15,2,5,1,0,1,3,0,0.0,2,6,1,1.0,0.0,0.0,0.0
13414,2016,ALDS2,pedrodu01,BOS,AL,3,12,2,2,1,0,0,0,0,0.0,2,5,0,0.0,0.0,0.0,0.0
13424,2016,ALDS2,pomerdr01,BOS,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13425,2016,ALDS2,porceri01,BOS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13428,2016,ALDS2,priceda01,BOS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13429,2016,NLCS,puigya01,LAN,NL,6,14,1,4,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,1.0
13430,2016,NLDS2,puigya01,LAN,NL,4,5,0,0,0,0,0,0,0,0.0,3,2,2,0.0,0.0,0.0,0.0
13431,2016,ALDS2,ramirha01,BOS,AL,3,12,0,3,2,0,0,2,0,0.0,0,4,0,0.0,0.0,0.0,0.0
13435,2016,NLCS,reddijo01,LAN,NL,5,11,1,4,0,0,0,1,3,0.0,0,0,0,0.0,0.0,0.0,0.0
13436,2016,NLDS2,reddijo01,LAN,NL,5,15,1,4,0,0,0,1,0,0.0,1,2,0,0.0,0.0,0.0,0.0
13456,2016,ALDS2,rossro01,BOS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13458,2016,NLCS,ruizca01,LAN,NL,4,7,0,1,1,0,0,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13459,2016,NLDS2,ruizca01,LAN,NL,3,4,2,2,0,0,1,3,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13477,2016,NLCS,seageco01,LAN,NL,6,21,0,6,0,0,0,1,0,0.0,2,7,0,1.0,0.0,0.0,2.0
13478,2016,NLDS2,seageco01,LAN,NL,5,23,3,3,1,0,2,3,0,0.0,0,6,0,0.0,0.0,0.0,0.0
13483,2016,ALDS2,shawtr01,BOS,AL,1,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13495,2016,NLCS,stripro01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13496,2016,NLDS2,stripro01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13506,2016,NLCS,tolesan01,LAN,NL,6,13,4,6,2,0,0,2,0,0.0,1,2,0,0.0,0.0,1.0,0.0
13507,2016,NLDS2,tolesan01,LAN,NL,5,9,2,2,0,0,0,0,0,0.0,0,1,0,2.0,0.0,0.0,1.0
13520,2016,NLCS,turneju01,LAN,NL,6,20,1,4,0,0,1,3,1,0.0,2,3,0,2.0,0.0,0.0,0.0
13521,2016,NLDS2,turneju01,LAN,NL,5,15,5,6,0,1,1,5,0,0.0,5,2,0,2.0,0.0,0.0,0.0
13523,2016,ALDS2,ueharko01,BOS,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13527,2016,NLCS,uriasju01,LAN,NL,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13528,2016,NLDS2,uriasju01,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13529,2016,NLCS,utleych01,LAN,NL,5,12,1,0,0,0,0,0,0,0.0,2,3,0,0.0,0.0,0.0,0.0
13530,2016,NLDS2,utleych01,LAN,NL,5,16,0,3,0,0,0,2,1,0.0,1,5,0,1.0,0.0,0.0,0.0
13533,2016,NLCS,woodal02,LAN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13537,2016,ALDS2,youngch04,BOS,AL,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0
13538,2016,ALDS2,zieglbr01,BOS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13549,2017,ALCS,altuvjo01,HOU,AL,7,25,5,8,0,0,2,4,1,0.0,4,5,0,0.0,0.0,0.0,1.0
13550,2017,ALDS2,altuvjo01,HOU,AL,4,15,5,8,0,0,3,4,0,0.0,4,2,2,0.0,0.0,0.0,2.0
13551,2017,WS,altuvjo01,HOU,AL,7,31,4,6,2,0,2,6,1,0.0,1,7,0,0.0,0.0,0.0,0.0
13560,2017,NLCS,barneau01,LAN,NL,5,15,2,2,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0.0,2.0
13561,2017,NLDS1,barneau01,LAN,NL,3,8,4,4,1,0,1,3,1,0.0,1,2,0,0.0,0.0,0.0,0.0
13562,2017,WS,barneau01,LAN,NL,7,23,2,4,1,0,0,2,0,0.0,0,5,0,1.0,0.0,1.0,0.0
13565,2017,NLCS,bellico01,LAN,NL,5,22,3,7,2,0,1,2,1,0.0,1,6,0,0.0,0.0,0.0,1.0
13566,2017,NLDS1,bellico01,LAN,NL,3,14,3,3,0,0,1,2,0,0.0,1,6,0,0.0,0.0,0.0,0.0
13567,2017,WS,bellico01,LAN,NL,7,28,4,4,2,1,1,5,0,0.0,1,17,0,0.0,0.0,0.0,0.0
13568,2017,ALCS,beltrca01,HOU,AL,4,12,0,1,1,0,0,0,0,0.0,0,4,0,0.0,0.0,0.0,0.0
13569,2017,ALDS2,beltrca01,HOU,AL,3,5,0,2,1,0,0,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13570,2017,WS,beltrca01,HOU,AL,3,3,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13571,2017,ALDS2,beninan01,BOS,AL,4,16,2,4,0,0,1,2,0,0.0,1,3,0,0.0,0.0,0.0,1.0
13573,2017,ALCS,betande01,NYA,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13574,2017,ALDS1,betande01,NYA,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13575,2017,ALDS2,bettsmo01,BOS,AL,4,16,2,5,2,0,0,0,1,0.0,1,4,0,0.0,0.0,0.0,0.0
13576,2017,ALCS,birdgr01,NYA,AL,7,20,2,5,2,0,1,2,0,0.0,8,8,1,0.0,0.0,0.0,0.0
13577,2017,ALDS1,birdgr01,NYA,AL,5,18,3,4,0,0,2,3,0,0.0,3,7,0,1.0,0.0,0.0,0.0
13578,2017,ALWC,birdgr01,NYA,AL,1,3,0,1,0,0,0,1,0,0.0,1,2,0,0.0,0.0,0.0,0.0
13581,2017,ALDS2,bogaexa01,BOS,AL,4,17,2,1,0,0,1,1,0,0.0,1,4,0,0.0,0.0,0.0,0.0
13584,2017,ALDS2,bradlja02,BOS,AL,4,15,1,3,0,0,1,5,0,0.0,0,6,0,0.0,0.0,0.0,1.0
13586,2017,ALCS,bregmal01,HOU,AL,7,24,2,4,1,0,0,3,0,0.0,3,3,0,0.0,0.0,0.0,1.0
13587,2017,ALDS2,bregmal01,HOU,AL,4,18,3,4,1,0,2,2,0,0.0,0,3,0,0.0,0.0,0.0,0.0
13588,2017,WS,bregmal01,HOU,AL,7,30,6,7,1,0,2,5,1,0.0,2,4,0,0.0,0.0,1.0,1.0
13596,2017,ALCS,castrst01,NYA,AL,7,24,2,5,1,0,0,0,0,0.0,1,8,0,1.0,0.0,0.0,1.0
13597,2017,ALDS1,castrst01,NYA,AL,5,22,3,6,2,0,0,1,0,0.0,1,5,0,0.0,0.0,0.0,0.0
13598,2017,ALWC,castrst01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13599,2017,ALDS2,centeju01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13602,2017,ALCS,chapmar01,NYA,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13603,2017,ALDS1,chapmar01,NYA,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13604,2017,ALWC,chapmar01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13606,2017,NLCS,cingrto01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13607,2017,NLDS1,cingrto01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13608,2017,WS,cingrto01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
