,yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2778,2015,AL,BOS,BOS,E,5,162,81.0,78,84,N,N,N,N,748,5640,1495,294,33,161,478.0,1148.0,71.0,27.0,46.0,42.0,753,694,4.31,3,10,40,4345,1486,178,478,1218,97,148,0.984,Boston Red Sox,Fenway Park II,2880694.0,104,107,BOS,BOS,BOS
2785,2015,AL,HOU,HOU,W,2,162,81.0,86,76,N,Y,N,N,729,5459,1363,278,26,230,486.0,1392.0,121.0,48.0,56.0,43.0,618,572,3.57,5,13,39,4323,1308,148,423,1280,85,131,0.986,Houston Astros,Minute Maid Park,2153585.0,97,99,HOU,HOU,HOU
2788,2015,NL,LAN,LAD,W,1,162,81.0,92,70,Y,N,N,N,667,5385,1346,263,26,187,563.0,1258.0,59.0,34.0,60.0,30.0,595,553,3.44,6,21,47,4337,1317,145,395,1396,75,133,0.988,Los Angeles Dodgers,Dodger Stadium,3764815.0,101,98,LAD,LAN,LAN
2792,2015,AL,NYA,NYY,E,2,162,81.0,87,75,N,Y,N,N,764,5567,1397,272,19,212,554.0,1227.0,63.0,25.0,63.0,54.0,698,652,4.03,3,4,48,4373,1416,182,474,1370,93,135,0.985,New York Yankees,Yankee Stadium III,3193795.0,99,101,NYY,NYA,NYA
2808,2016,AL,BOS,BOS,E,1,162,81.0,93,69,Y,N,N,N,878,5670,1598,343,25,208,558.0,1160.0,83.0,24.0,43.0,40.0,694,640,4.0,9,5,43,4319,1342,176,490,1362,75,139,0.987,Boston Red Sox,Fenway Park II,2955434.0,108,106,BOS,BOS,BOS
2815,2016,AL,HOU,HOU,W,3,162,81.0,84,78,N,N,N,N,724,5545,1367,291,29,198,554.0,1452.0,102.0,44.0,47.0,31.0,701,663,4.06,2,8,44,4404,1441,181,453,1396,77,135,0.987,Houston Astros,Minute Maid Park,2306623.0,90,89,HOU,HOU,HOU
2818,2016,NL,LAN,LAD,W,1,162,81.0,91,71,Y,N,N,N,725,5518,1376,272,21,189,525.0,1321.0,45.0,26.0,58.0,32.0,638,598,3.7,3,15,47,4359,1266,165,464,1510,80,101,0.986,Los Angeles Dodgers,Dodger Stadium,3703312.0,93,92,LAD,LAN,LAN
2822,2016,AL,NYA,NYY,E,4,162,81.0,84,78,N,N,N,N,680,5458,1378,245,20,183,475.0,1188.0,72.0,22.0,42.0,49.0,702,660,4.16,0,10,48,4285,1358,214,444,1393,86,116,0.985,New York Yankees,Yankee Stadium III,3063405.0,105,105,NYY,NYA,NYA
2838,2017,AL,BOS,BOS,E,1,162,81.0,93,69,Y,N,N,N,785,5669,1461,302,19,168,571.0,1224.0,106.0,31.0,53.0,36.0,668,610,3.7,5,11,39,4447,1384,195,465,1580,107,126,0.982,Boston Red Sox,Fenway Park II,2917678.0,105,104,BOS,BOS,BOS
2845,2017,AL,HOU,HOU,W,1,162,81.0,101,61,Y,N,Y,Y,896,5611,1581,346,20,238,509.0,1087.0,98.0,42.0,70.0,61.0,700,662,4.12,1,9,45,4338,1314,192,522,1593,99,153,0.983,Houston Astros,Minute Maid Park,2403671.0,91,90,HOU,HOU,HOU
2848,2017,NL,LAN,LAD,W,1,162,81.0,104,58,Y,N,Y,N,770,5408,1347,312,20,221,649.0,1380.0,77.0,28.0,64.0,38.0,580,543,3.38,2,16,51,4334,1226,184,442,1549,88,131,0.985,Los Angeles Dodgers,Dodger Stadium,3765856.0,97,96,LAD,LAN,LAN
2852,2017,AL,NYA,NYY,E,2,162,81.0,91,71,N,Y,N,N,858,5594,1463,266,23,241,616.0,1386.0,90.0,22.0,64.0,56.0,660,599,3.72,2,7,36,4346,1248,192,504,1560,95,102,0.984,New York Yankees,Yankee Stadium III,3146966.0,104,103,NYY,NYA,NYA
2868,2018,AL,BOS,BOS,E,1,162,81.0,108,54,Y,N,Y,Y,876,5623,1509,355,31,208,569.0,1253.0,125.0,31.0,55.0,48.0,647,608,3.75,2,14,46,4376,1305,176,512,1558,77,106,0.987,Boston Red Sox,Fenway Park II,2895575.0,104,102,BOS,BOS,BOS
2875,2018,AL,HOU,HOU,W,1,162,81.0,103,59,Y,N,N,N,797,5453,1390,278,18,205,565.0,1197.0,71.0,26.0,61.0,45.0,534,503,3.11,3,12,46,4365,1164,152,435,1687,63,116,0.989,Houston Astros,Minute Maid Park,2980549.0,96,94,HOU,HOU,HOU
2878,2018,NL,LAN,LAD,W,1,163,82.0,92,71,Y,N,Y,N,804,5572,1394,296,33,235,647.0,1436.0,75.0,24.0,61.0,39.0,610,554,3.38,0,11,48,4428,1279,179,422,1565,100,111,0.983,Los Angeles Dodgers,Dodger Stadium,3857500.0,98,96,LAD,LAN,LAN
2882,2018,AL,NYA,NYY,E,2,162,81.0,100,62,N,Y,N,N,851,5515,1374,269,23,267,625.0,1421.0,63.0,21.0,62.0,59.0,669,611,3.78,2,11,49,4369,1311,177,494,1634,94,95,0.984,New York Yankees,Yankee Stadium III,3482855.0,104,102,NYY,NYA,NYA
2898,2019,AL,BOS,BOS,E,3,162,81.0,84,78,N,N,N,N,901,5770,1554,345,27,245,590.0,1382.0,68.0,30.0,49.0,44.0,828,768,4.7,1,8,33,4413,1423,215,605,1633,88,115,0.985,Boston Red Sox,Fenway Park II,2924627.0,105,104,BOS,BOS,BOS
2905,2019,AL,HOU,HOU,W,1,162,81.0,107,55,Y,N,Y,N,920,5613,1538,323,28,288,645.0,1166.0,67.0,27.0,66.0,57.0,640,595,3.66,2,14,47,4387,1205,230,448,1671,71,96,0.988,Houston Astros,Minute Maid Park,2857367.0,103,100,HOU,HOU,HOU
2908,2019,NL,LAN,LAD,W,1,162,81.0,106,56,Y,N,N,N,886,5493,1414,302,20,279,607.0,1356.0,57.0,10.0,81.0,45.0,613,541,3.37,3,18,44,4337,1201,185,392,1519,106,117,0.982,Los Angeles Dodgers,Dodger Stadium,3974309.0,96,94,LAD,LAN,LAN
2912,2019,AL,NYA,NYY,E,1,162,81.0,103,59,Y,N,N,N,943,5583,1493,290,17,306,569.0,1437.0,55.0,22.0,49.0,33.0,739,691,4.31,1,9,50,4329,1374,248,507,1534,102,135,0.982,New York Yankees,Yankee Stadium III,3304404.0,98,96,NYY,NYA,NYA
